titolo,sorgente,pubDate,ISODate,URL
[Dipartimento della pesca mediterranea] Graduatoria Provvisoria delle istanze ammissibili a valere sul bando della misura 1.42 - anno 2018,Dipartimento della pesca mediterranea,"Fri, 08 Mar 2019 02:00:00 +0100",20190308,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do&amp;stepNews=det_news&amp;idNews=198399826
[Dipartimento delle attività produttive] Decreto Dirigenziale,Dipartimento delle attività produttive,"Fri, 08 Mar 2019 02:00:00 +0100",20190308,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do&amp;stepNews=det_news&amp;idNews=198399095
[Dipartimento delle attività produttive] Decreto Dirigenziale,Dipartimento delle attività produttive,"Fri, 08 Mar 2019 02:00:00 +0100",20190308,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do&amp;stepNews=det_news&amp;idNews=198399855
[Dipartimento della pesca mediterranea] FEAMP 2014-2020: Graduatoria Definitiva delle istanze a valere sul bando della misura 5.68 - anno 2018,Dipartimento della pesca mediterranea,"Fri, 08 Mar 2019 02:00:00 +0100",20190308,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do&amp;stepNews=det_news&amp;idNews=198399019
[Fondo Pensioni Sicilia] Avviso: come comunicare al Fondo Pensioni il proprio indirizzo di posta elettronica,Fondo Pensioni Sicilia,"Fri, 08 Mar 2019 02:00:00 +0100",20190308,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d94d25c329e2d945b9b0feef2deb1ebff9.e38Oc3ePbx4Kc40LaxmSc30Rah4Le0&amp;stepNews=det_news&amp;idNews=198401268
[Dipartimento dell'istruzione e della formazione professionale] DDG 539 del 07/03/2019 PO FSE 2014_2020 Approvazione graduatoria provvisoria delle proposte progettuali a valere su Avviso n_26_2018,Dipartimento dell'istruzione e della formazione professionale,"Fri, 08 Mar 2019 02:00:00 +0100",20190308,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d94d25c329e2d945b9b0feef2deb1ebff9.e38Oc3ePbx4Kc40LaxmSc30Rah4Le0&amp;stepNews=det_news&amp;idNews=198399603
[Fondo Pensioni Sicilia] Totalizzazione e cumulo: ieri incontro fra Fondo Pensioni della Regione Siciliana e Associazione delle casse previdenziali private,Fondo Pensioni Sicilia,"Fri, 08 Mar 2019 02:00:00 +0100",20190308,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d94d25c329e2d945b9b0feef2deb1ebff9.e38Oc3ePbx4Kc40LaxmSc30Rah4Le0&amp;stepNews=det_news&amp;idNews=198398796
[Dipartimento della pesca mediterranea] Graduatoria Provvisoria delle istanze ammissibili a valere sul bando della misura 1.42 - anno 2018,Dipartimento della pesca mediterranea,"Fri, 08 Mar 2019 02:00:00 +0100",20190308,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d94d25c329e2d945b9b0feef2deb1ebff9.e38Oc3ePbx4Kc40LaxmSc30Rah4Le0&amp;stepNews=det_news&amp;idNews=198399826
[Dipartimento delle attività produttive] Decreto Dirigenziale,Dipartimento delle attività produttive,"Fri, 08 Mar 2019 02:00:00 +0100",20190308,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d94d25c329e2d945b9b0feef2deb1ebff9.e38Oc3ePbx4Kc40LaxmSc30Rah4Le0&amp;stepNews=det_news&amp;idNews=198399095
[Dipartimento della pesca mediterranea] FEAMP 2014-2020: Graduatoria Definitiva delle istanze a valere sul bando della misura 5.68 - anno 2018,Dipartimento della pesca mediterranea,"Fri, 08 Mar 2019 02:00:00 +0100",20190308,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Servizi/PIR_News?_piref857_3677299_857_3677298_3677298.strutsAction=%2Fnews.do%3Bjsessionid%3D0a05010730d94d25c329e2d945b9b0feef2deb1ebff9.e38Oc3ePbx4Kc40LaxmSc30Rah4Le0&amp;stepNews=det_news&amp;idNews=198399019
